date,rainfall,site,year,month,tasmax,tasmin
2018-06-16,20.835804581884332,Hazelrigg,2018,6,20.041110979716223,11.062412330706051
2018-06-16,13.008698964934679,Ainsdale,2018,6,20.555648299825855,11.811121077925629
2018-07-16,22.68308134361733,Wytham,2018,7,26.58393736545861,13.78133547200315
2018-07-16,48.828965503633256,Hazelrigg,2018,7,21.797718029961974,12.900449315430718
2018-07-16,62.09446255548665,Ainsdale,2018,7,22.455917621743232,13.462045273170789
2018-08-16,49.30035020213289,Wytham,2018,8,22.45937840676758,12.63779909101714
2018-08-16,79.52158729046711,Hazelrigg,2018,8,18.36144628876736,12.727988350011696
2018-08-16,46.27954109282465,Ainsdale,2018,8,19.413405079514288,13.72956147357701
2018-09-16,28.772304420253967,Wytham,2018,9,19.24637020490378,9.590705529285383
2018-09-16,130.2261050502105,Hazelrigg,2018,9,15.75420052751266,9.993336597673169
2018-09-16,106.86836423618745,Ainsdale,2018,9,16.81605062578133,10.825227084736987
2018-10-16,58.38182823686419,Wytham,2018,10,14.880123292242846,6.780807361960186
2018-10-16,106.94825320198112,Hazelrigg,2018,10,13.324647598879682,7.140090831254227
2018-10-16,70.19261031283713,Ainsdale,2018,10,14.065034426465951,7.766604045414546
2018-11-16,63.781966326250384,Wytham,2018,11,11.0655923171981,5.22941639149486
2018-11-16,67.07721302111854,Hazelrigg,2018,11,10.685116216973089,5.919640989713184
2018-11-16,50.067401695239184,Ainsdale,2018,11,11.225987727115633,6.430965509160232
2018-12-16,83.25722809254704,Wytham,2018,12,9.641885336804483,4.451086149287898
2018-12-16,149.32386036328168,Hazelrigg,2018,12,8.564308606891782,4.328408233163371
2018-12-16,110.29152458055309,Ainsdale,2018,12,9.380148345644066,5.474011716001835
2019-01-16,30.232728503455878,Wytham,2019,1,6.592664723503329,0.8662893918649619
2019-01-16,58.85245725791245,Hazelrigg,2019,1,6.196730436894193,1.8972260222420316
2019-01-16,55.48074175609249,Ainsdale,2019,1,6.91395926507749,2.8307544307486774
2019-02-16,38.6198231629748,Wytham,2019,2,11.21608846735452,1.9391098604735595
2019-02-16,63.732263788744746,Hazelrigg,2019,2,10.389722819184454,3.3601808602027265
2019-02-16,39.23235050214358,Ainsdale,2019,2,11.068623331605455,3.7875826090846303
2019-03-16,41.96418091295593,Wytham,2019,3,11.827521356611477,4.757059628164866
2019-03-16,152.1906394685473,Hazelrigg,2019,3,9.676143196324045,4.462787190132412
2019-03-16,101.37476930662582,Ainsdale,2019,3,10.509863094973014,5.45415488248235
2019-04-16,25.979065820170486,Wytham,2019,4,14.249286235170892,4.092520690240777
2019-04-16,53.25218835772571,Hazelrigg,2019,4,13.7692544630259,5.013273111516657
2019-04-16,60.92904630347053,Ainsdale,2019,4,14.193838493230253,5.749867199070706
2019-05-16,26.774947576349266,Wytham,2019,5,17.049081224464544,6.584193733873726
2019-05-16,35.67979325495158,Hazelrigg,2019,5,14.329232898704266,7.108026140437826
2019-05-16,31.592488473449272,Ainsdale,2019,5,14.86899553075694,8.296716121491961
2019-06-16,97.9227157387563,Wytham,2019,6,19.399166857356455,10.436712007171526
