Site,Treatment,Date,Time_point,Species,Individual_nos,Leaf_weight_wet_g,Leaf_area_cm_2,Leaf_weight_dry_g,Leaf_area_mm_2,Leaf_area_m_2,Leaf_weight_dry_mg,Leaf_weight_wet_mg,Trait_name,Trait_value,data_set,is_outlier
Ainsdale,CONT,20/06/2025,T2,MA,3,0.06,2.38,0.0134,23.799999999999997,2.3799999999999998e-4,13.4,60,LMA,5.630252100840337,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.06,2.38,0.0134,23.799999999999997,2.3799999999999998e-4,13.4,60,LDMC,0.22333333333333333,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.06,2.38,0.0134,23.799999999999997,2.3799999999999998e-4,13.4,60,LWC,0.7766666666666667,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.06,2.38,0.0134,23.799999999999997,2.3799999999999998e-4,13.4,60,EWT,0.01957983193277311,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.025,1.1500000000000001,0.0066,11.500000000000002,1.1500000000000002e-4,6.6,25,LMA,5.7391304347826075,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.025,1.1500000000000001,0.0066,11.500000000000002,1.1500000000000002e-4,6.6,25,LDMC,0.264,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.025,1.1500000000000001,0.0066,11.500000000000002,1.1500000000000002e-4,6.6,25,LWC,0.736,field,FALSE
Ainsdale,CONT,20/06/2025,T2,MA,3,0.025,1.1500000000000001,0.0066,11.500000000000002,1.1500000000000002e-4,6.6,25,EWT,0.015999999999999997,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.04,1.7,0.0074,17,1.6999999999999999e-4,7.4,40,LMA,4.352941176470589,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.04,1.7,0.0074,17,1.6999999999999999e-4,7.4,40,LDMC,0.185,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.04,1.7,0.0074,17,1.6999999999999999e-4,7.4,40,LWC,0.8150000000000001,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.04,1.7,0.0074,17,1.6999999999999999e-4,7.4,40,EWT,0.0191764705882353,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.018000000000000002,1.06,0.0096,10.600000000000001,1.06e-4,9.6,18.000000000000004,LMA,9.056603773584905,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.018000000000000002,1.06,0.0096,10.600000000000001,1.06e-4,9.6,18.000000000000004,LDMC,0.5333333333333332,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.018000000000000002,1.06,0.0096,10.600000000000001,1.06e-4,9.6,18.000000000000004,LWC,0.4666666666666668,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.018000000000000002,1.06,0.0096,10.600000000000001,1.06e-4,9.6,18.000000000000004,EWT,0.007924528301886795,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.019,0.81,0.0035,8.100000000000001,8.1e-5,3.5,19,LMA,4.320987654320987,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.019,0.81,0.0035,8.100000000000001,8.1e-5,3.5,19,LDMC,0.18421052631578946,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.019,0.81,0.0035,8.100000000000001,8.1e-5,3.5,19,LWC,0.8157894736842105,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,4,0.019,0.81,0.0035,8.100000000000001,8.1e-5,3.5,19,EWT,0.019135802469135803,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.025,1.28,0.0058000000000000005,12.8,1.28e-4,5.800000000000001,25,LMA,4.531250000000001,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.025,1.28,0.0058000000000000005,12.8,1.28e-4,5.800000000000001,25,LDMC,0.23200000000000004,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.025,1.28,0.0058000000000000005,12.8,1.28e-4,5.800000000000001,25,LWC,0.768,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.025,1.28,0.0058000000000000005,12.8,1.28e-4,5.800000000000001,25,EWT,0.015000000000000003,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.045,1.1400000000000001,0.0054,11.400000000000002,1.14e-4,5.4,45,LMA,4.7368421052631575,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.045,1.1400000000000001,0.0054,11.400000000000002,1.14e-4,5.4,45,LDMC,0.12000000000000001,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.045,1.1400000000000001,0.0054,11.400000000000002,1.14e-4,5.4,45,LWC,0.88,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.045,1.1400000000000001,0.0054,11.400000000000002,1.14e-4,5.4,45,EWT,0.03473684210526315,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.013000000000000001,0.7,0.0029,7,7e-5,2.9,13.000000000000002,LMA,4.142857142857143,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.013000000000000001,0.7,0.0029,7,7e-5,2.9,13.000000000000002,LDMC,0.22307692307692303,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.013000000000000001,0.7,0.0029,7,7e-5,2.9,13.000000000000002,LWC,0.7769230769230769,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,5,0.013000000000000001,0.7,0.0029,7,7e-5,2.9,13.000000000000002,EWT,0.014428571428571431,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.037,1.06,0.0058000000000000005,10.600000000000001,1.06e-4,5.800000000000001,37,LMA,5.471698113207547,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.037,1.06,0.0058000000000000005,10.600000000000001,1.06e-4,5.800000000000001,37,LDMC,0.15675675675675677,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.037,1.06,0.0058000000000000005,10.600000000000001,1.06e-4,5.800000000000001,37,LWC,0.8432432432432432,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.037,1.06,0.0058000000000000005,10.600000000000001,1.06e-4,5.800000000000001,37,EWT,0.029433962264150945,field,TRUE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.03,1.02,0.005,10.2,1.02e-4,5,30,LMA,4.901960784313726,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.03,1.02,0.005,10.2,1.02e-4,5,30,LDMC,0.16666666666666666,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.03,1.02,0.005,10.2,1.02e-4,5,30,LWC,0.8333333333333334,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.03,1.02,0.005,10.2,1.02e-4,5,30,EWT,0.024509803921568627,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.021,0.9,0.0049,9,9e-5,4.8999999999999995,21,LMA,5.444444444444444,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.021,0.9,0.0049,9,9e-5,4.8999999999999995,21,LDMC,0.2333333333333333,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.021,0.9,0.0049,9,9e-5,4.8999999999999995,21,LWC,0.7666666666666667,field,FALSE
Ainsdale,DIST,20/06/2025,T2,MA,6,0.021,0.9,0.0049,9,9e-5,4.8999999999999995,21,EWT,0.01788888888888889,field,FALSE
