date,site,tasmax
2025-05-24,Hazelrigg,17.385009765625
2025-05-24,Wytham,19.0625
2025-05-25,Ainsdale,16.783147321428572
2025-05-25,Hazelrigg,14.9169921875
2025-05-25,Wytham,18.642578125
2025-05-26,Ainsdale,15.076255580357143
2025-05-26,Hazelrigg,13.610107421875
2025-05-26,Wytham,17.0029296875
2025-05-27,Ainsdale,14.157840401785714
2025-05-27,Hazelrigg,12.703369140625
2025-05-27,Wytham,16.361328125
2025-05-28,Ainsdale,16.633175223214284
2025-05-28,Hazelrigg,15.30322265625
2025-05-28,Wytham,20.583984375
2025-05-29,Ainsdale,17.18803013392857
2025-05-29,Hazelrigg,15.629150390625
2025-05-29,Wytham,23.408203125
2025-05-30,Ainsdale,19.521651785714287
2025-05-30,Hazelrigg,18.083251953125
2025-05-30,Wytham,23.2890625
2025-05-31,Ainsdale,19.314174107142858
2025-05-31,Hazelrigg,18.051025390625
2025-05-31,Wytham,23.3857421875
2025-06-01,Ainsdale,17.000027901785714
2025-06-01,Hazelrigg,15.3798828125
2025-06-01,Wytham,19.4677734375
2025-06-02,Ainsdale,16.767410714285713
2025-06-02,Hazelrigg,15.27197265625
2025-06-02,Wytham,19.7060546875
2025-06-03,Ainsdale,16.102064732142857
2025-06-03,Hazelrigg,14.785400390625
2025-06-03,Wytham,17.8896484375
2025-06-04,Ainsdale,16.248883928571427
2025-06-04,Hazelrigg,14.5712890625
2025-06-04,Wytham,17.5361328125
2025-06-05,Ainsdale,16.697154017857144
2025-06-05,Hazelrigg,15.741455078125
2025-06-05,Wytham,15.7373046875
2025-06-06,Ainsdale,15.529771205357143
2025-06-06,Hazelrigg,14.056884765625
2025-06-06,Wytham,18.052734375
2025-06-07,Ainsdale,13.899441964285714
2025-06-07,Hazelrigg,13.124755859375
2025-06-07,Wytham,15.517578125
2025-06-08,Ainsdale,15.335044642857143
2025-06-08,Hazelrigg,14.143798828125
2025-06-08,Wytham,17.287109375
2025-06-09,Ainsdale,15.952287946428571
2025-06-09,Hazelrigg,14.564453125
2025-06-09,Wytham,18.8955078125
2025-06-10,Ainsdale,17.1279296875
2025-06-10,Hazelrigg,17.386474609375
2025-06-10,Wytham,21.6162109375
2025-06-11,Ainsdale,24.19913504464286
2025-06-11,Hazelrigg,23.785888671875
2025-06-11,Wytham,22.263671875
2025-06-12,Ainsdale,22.505189732142856
2025-06-12,Hazelrigg,22.14501953125
2025-06-12,Wytham,22.14453125
2025-06-13,Ainsdale,20.474776785714287
2025-06-13,Hazelrigg,20.56494140625
2025-06-13,Wytham,25.8388671875
2025-06-14,Ainsdale,19.238755580357143
2025-06-14,Hazelrigg,18.8369140625
2025-06-14,Wytham,22.9306640625
2025-06-15,Ainsdale,18.051534598214285
2025-06-15,Hazelrigg,16.84521484375
2025-06-15,Wytham,22.7158203125
2025-06-16,Ainsdale,20.47505580357143
2025-06-16,Hazelrigg,19.254150390625
2025-06-16,Wytham,23.6171875
2025-06-17,Ainsdale,18.844587053571427
2025-06-17,Hazelrigg,16.062255859375
2025-06-17,Wytham,24.45703125
2025-06-18,Ainsdale,20.01261160714286
2025-06-18,Hazelrigg,19.23388671875
2025-06-18,Wytham,27.8125
2025-06-19,Ainsdale,26.757254464285715
2025-06-19,Hazelrigg,25.690185546875
2025-06-19,Wytham,29.5908203125
2025-06-20,Ainsdale,27.884654017857144
2025-06-20,Hazelrigg,27.804931640625
2025-06-20,Wytham,28.73046875
2025-06-21,Ainsdale,25.3107421875
2025-06-21,Hazelrigg,26.17138671875
2025-06-21,Wytham,29.560546875
2025-06-22,Ainsdale,19.368359375
2025-06-22,Hazelrigg,17.789794921875
2025-06-22,Wytham,22.798828125
2025-06-23,Ainsdale,18.086244419642856
2025-06-23,Hazelrigg,16.267578125
2025-06-23,Wytham,21.0419921875
2025-06-24,Ainsdale,19.147628348214287
2025-06-24,Hazelrigg,19.353515625
2025-06-24,Wytham,24.5302734375
2025-06-25,Ainsdale,20.683621651785714
2025-06-25,Hazelrigg,18.960205078125
2025-06-25,Wytham,24.759765625
2025-06-26,Ainsdale,18.437611607142856
2025-06-26,Hazelrigg,16.88916015625
2025-06-26,Wytham,22.552734375
2025-06-27,Ainsdale,20.985714285714284
2025-06-27,Hazelrigg,19.6416015625
2025-06-27,Wytham,27.029296875
2025-06-28,Ainsdale,21.137137276785715
2025-06-28,Hazelrigg,19.314453125
2025-06-28,Wytham,27.7822265625
2025-06-29,Ainsdale,22.721456473214285
2025-06-29,Hazelrigg,21.91650390625
2025-06-29,Wytham,27.96484375
2025-06-30,Ainsdale,23.588448660714285
2025-06-30,Hazelrigg,22.35693359375
2025-06-30,Wytham,31.4033203125
2025-07-01,Ainsdale,18.1294921875
2025-07-01,Hazelrigg,19.287109375
2025-07-01,Wytham,30.1142578125
2025-07-02,Ainsdale,17.78621651785714
2025-07-02,Hazelrigg,16.703369140625
2025-07-02,Wytham,23.5166015625
2025-07-03,Ainsdale,19.588895089285714
2025-07-03,Hazelrigg,18.114013671875
2025-07-03,Wytham,23.6748046875
2025-07-04,Ainsdale,19.74893973214286
2025-07-04,Hazelrigg,18.0185546875
2025-07-04,Wytham,25.6845703125
2025-07-05,Ainsdale,20.38973214285714
2025-07-05,Hazelrigg,18.593017578125
2025-07-05,Wytham,22.521484375
