site,x,y,date,year,month,rainfall,sun_hours,tasmin,tasmax
Raindrop_Wytham,446500,208500,2015-06-16,2015,6,30.850447835544706,241.2222808351066,9.627660552630012,20.080828389226475
Raindrop_Wytham,446500,208500,2015-07-16,2015,7,60.6565745300359,199.05485322219909,11.881796405177191,21.626822622869213
Raindrop_Wytham,446500,208500,2015-08-16,2015,8,61.21739646324424,134.5307437658156,12.376592903089058,20.46316442184569
Raindrop_Wytham,446500,208500,2015-09-16,2015,9,43.65945978063525,163.30988185375878,8.44571569627154,17.52749574614427
Raindrop_Wytham,446500,208500,2015-10-16,2015,10,55.72736103593935,83.27630174384888,7.587424481651983,14.508921792821491
Raindrop_Wytham,446500,208500,2015-11-16,2015,11,80.43277606094819,33.722252278909494,6.9839520432509286,12.391680005016541
Raindrop_Wytham,446500,208500,2015-12-16,2015,12,72.97504234217963,38.33537352340543,7.9564698565558505,12.605677299845137
Raindrop_Wytham,446500,208500,2016-01-16,2016,1,96.7829729429833,58.61200521853292,2.4495842395438765,8.633735507542125
Raindrop_Wytham,446500,208500,2016-02-16,2016,2,55.6589265247412,111.99651864489364,2.009721103097392,8.34593382487729
Raindrop_Wytham,446500,208500,2016-03-16,2016,3,81.73608781369137,122.80478826287475,1.718424714086531,9.439104852424173
Raindrop_Wytham,446500,208500,2016-04-16,2016,4,55.79382657691845,163.18374663791545,3.5450760311197302,12.1694991997874
Raindrop_Wytham,446500,208500,2016-05-16,2016,5,79.53567632188057,202.1829966022647,8.203132307983669,17.56304898180941
Raindrop_Wytham,446500,208500,2016-06-16,2016,6,86.76910115333541,100.2435820801924,11.617247689017233,19.378023126533307
Raindrop_Wytham,446500,208500,2016-07-16,2016,7,6.641040512447221,224.5422217156782,13.032495006986878,22.317257178122084
Raindrop_Wytham,446500,208500,2016-08-16,2016,8,46.38836960387516,202.48304555928462,13.041956522836468,22.590529608838263
Raindrop_Wytham,446500,208500,2016-09-16,2016,9,50.085371081815225,112.67657309111718,12.588028357864273,20.21968779307379
Raindrop_Wytham,446500,208500,2016-10-16,2016,10,21.019548839841313,111.04908060010331,7.0717833345481695,14.430309522689473
Raindrop_Wytham,446500,208500,2016-11-16,2016,11,91.64149613683551,88.34418025167056,2.8147292597262217,8.93444934473289
Raindrop_Wytham,446500,208500,2016-12-16,2016,12,30.029710940440676,62.17468499591775,2.558883809425131,9.015004603363279
Raindrop_Wytham,446500,208500,2017-01-16,2017,1,72.46910332595766,64.01671701545628,0.4888862940400387,6.796177522205572
Raindrop_Wytham,446500,208500,2017-02-16,2017,2,37.02532340891255,57.68499436266207,3.6809568798315073,8.733827584059064
Raindrop_Wytham,446500,208500,2017-03-16,2017,3,45.32304789873969,114.16045417409413,5.3341669084535255,12.794236309732975
Raindrop_Wytham,446500,208500,2017-04-16,2017,4,7.350369630464424,174.09289148585768,4.201222097858849,14.200365997808792
Raindrop_Wytham,446500,208500,2017-05-16,2017,5,82.30280820309565,169.37580334372942,9.109704119288656,18.18300520106805
